IDCNTRY;Variable;TOTWGTS;mean;stdev;TOTWGTS.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
England;PV_CIV;544565,018226385;520,399098600889;103,797772793617;12915,2698642309;4,377040475703;2,77240634574084;2878;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;OPDISC;11595,0934352093;50,4028028037064;8,88518923977777;261,324621587806;,292426970908846;,20313992063834;2710;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Estonia;PV_CIV;11595,0934352093;525,938087884527;91,3703554060533;261,324621587806;4,53735840452594;2,44560749731099;2710;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;OPDISC;62207,2259224401;49,447993099159;7,98723363888038;1042,99276612105;,222711957114608;,146653481303148;3278;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Finland;PV_CIV;62207,2259224401;576,828549510448;84,3444187387296;1042,99276612105;2,41892390019386;1,29650045590658;3278;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;OPDISC;99778,1282708784;50,8590615581254;9,62139662491513;2082,70732270873;,257756139077677;,201951669588352;3116;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Greece;PV_CIV;99778,1282708784;476,452721916786;98,2320124728325;2082,70732270873;4,38895129940427;1,97377398206678;3116;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;OPDISC;128364,426618069;52,6084127730646;9,57097138975204;6094,20951433107;,237758627070603;,141515303868786;3893;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Guatemala;PV_CIV;128364,426618069;436,165276765547;75,2179125391032;6094,20951433107;3,80571443197497;2,50326145532098;3893;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;OPDISC;79185,0352588337;52,9833045367575;10,5571769794752;1612,40469300171;,443998963146608;,260014502740821;2816;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Hong Kong, SAR;PV_CIV;79185,0352588337;552,908223487296;96,7427333948719;1612,40469300171;5,81826619770332;3,16998430380925;2816;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;OPDISC;3239159,0985428;54,653665063334;9,60278375052839;100266,066857372;,297829169726072;,169366500436977;4961;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Indonesia;PV_CIV;3239159,0985428;433,463013039002;69,3353742159861;100266,066857372;3,42362186796256;1,97044538841045;4961;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;OPDISC;54790,793369382;52,2235968551913;10,8887701500112;623,852533191562;,288266309670516;,182197702298731;3324;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Ireland;PV_CIV;54790,793369382;534,939889538178;100,64756500377;623,852533191562;4,51199223147701;2,19085364731536;3324;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;OPDISC;537714,667189377;54,2778715718984;8,93669310849649;9478,38656689419;,262069440751157;,148335301670977;3355;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Italy;PV_CIV;537714,667189377;531,012785234148;87,8271170227837;9478,38656689419;3,26770449121377;1,52874834468064;3355;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;OPDISC;652824,089675097;38,1180252612556;10,6319448692714;2936,20938120921;,248005379829018;,133084771285113;5230;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Korea, Republic of;PV_CIV;652824,089675097;565,426888848074;80,2188587723078;2936,20938120921;1,87285400352195;1,04807847360039;5230;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;OPDISC;20654,5120997017;50,5175760502661;8,62180848760324;775,774868230215;,295825009349594;,274609703769335;2729;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Latvia;PV_CIV;20654,5120997017;482,066705913281;81,5372508636691;775,774868230215;3,97885448473418;1,90233258383897;2729;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;OPDISC;361,675;48,2011989567617;9,64582101410828;3,18740762987832;,50715089787081;,525883860813026;354;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Liechtenstein;PV_CIV;361,675;531,999279029862;93,1440991663726;3,18740762987832;3,34408334464234;3,4466632799668;354;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;OPDISC;37489,946908231;49,5736550242057;8,77006437405272;586,465328534861;,270556757076593;,212336652442059;3880;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Lithuania;PV_CIV;37489,946908231;505,433709733877;80,3097780643865;586,465328534861;2,84434055470243;1,24899518990317;3880;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;OPDISC;5722,88121274331;47,9736832181183;9,49464753969224;96,4674232249112;,15871326415405;,126553515009361;4778;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Luxembourg;PV_CIV;5722,88121274331;474,814627265606;94,8322631623496;96,4674232249112;2,25897370769959;1,47606544137475;4778;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;OPDISC;4810,84769264792;45,8022736098941;9,42492974783663;95,4642331909919;,221426549380915;,268721051141703;2122;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Malta;PV_CIV;4810,84769264792;491,168809638262;94,518418854305;95,4642331909919;4,41691800998966;3,36530649285814;2122;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Mexico;OPDISC;1973773,76967262;50,1225238101739;9,35647733987149;47809,7109201973;,221650603809292;,121742462715773;6459;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Mexico;PV_CIV;1973773,76967262;452,89188871656;82,3925673902492;47809,7109201973;2,80791278566095;1,44600319952744;6459;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Netherlands;OPDISC;155469,362711199;48,5037546575933;8,29030076463972;13364,4278169851;,45880876878866;,279887494658804;1905;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Netherlands;PV_CIV;155469,362711199;492,951214195917;91,6423297309102;13364,4278169851;8,05145319628661;4,20759044335195;1905;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;OPDISC;56753,6567557704;53,2963926524074;10,6356899187488;1356,78279216913;,327403586470477;,270172795784061;3892;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
New Zealand;PV_CIV;56753,6567557704;519,519294475272;108,640514867113;1356,78279216913;4,99499735993194;2,58069373913629;3892;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;OPDISC;58457,2413061074;52,2198969449375;10,2202592457064;1129,50989441008;,33061413866602;,226653575536409;2950;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Norway;PV_CIV;58457,2413061074;516,03955372487;95,3243730875923;1129,50989441008;3,39266408508547;1,76341377102232;2950;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;OPDISC;82594,5860004572;49,4533382530643;8,60601664527847;3964,4138903678;,261261470323639;,18661217907456;3200;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Paraguay;PV_CIV;82594,5860004572;428,832642605561;88,112647774616;3964,4138903678;3,32053432423108;2,29277103358454;3200;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;OPDISC;437914,71409435;50,9225326914096;9,81357125596728;7111,2873635381;,314975762943966;,199311661428786;3238;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Poland;PV_CIV;437914,71409435;536,650123913867;98,4260372665814;7111,2873635381;4,65316417960312;1,82261107144601;3238;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Russian Federation;OPDISC;1262091,7065553;49,0181295418228;9,87771748952453;21236,8160588686;,302797811320723;,24275748690763;4261;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Russian Federation;PV_CIV;1262091,7065553;507,118998216137;84,8155955282321;21236,8160588686;3,80760429957932;2,3313147752478;4261;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;OPDISC;51411,0169577501;50,0155155820049;8,27499065660875;1723,00456488791;,261270609837908;,165998140934102;2958;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovak Republic;PV_CIV;51411,0169577501;528,986539952551;88,8821690025628;1723,00456488791;4,48237676357946;2,17311959632584;2958;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;OPDISC;17109,2980968287;49,859808944028;9,65793456783326;342,240979795045;,276330185747484;,219029232614492;3037;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Slovenia;PV_CIV;17109,2980968287;516,4554888912;86,6515539213873;342,240979795045;2,67917884592204;1,50577865199582;3037;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;OPDISC;437238,380880129;47,9481884880529;9,44015171261852;7333,89252173417;,242612572395758;,263900486972452;3279;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Spain;PV_CIV;437238,380880129;505,560741535385;85,6710970356596;7333,89252173417;4,0872958632074;2,2424230468093;3279;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;OPDISC;105130,941976521;50,9820059905254;9,76608480452715;1763,49838216306;,302187069586554;,185493644337845;3405;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Sweden;PV_CIV;105130,941976521;537,893679113036;98,1643811201325;1763,49838216306;3,12113319262728;1,85851788344219;3405;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;OPDISC;82406,2210992445;47,9979634889138;9,37037780856358;4201,33320410084;,314124201642713;,206818204722551;2902;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Switzerland;PV_CIV;82406,2210992445;531,135031852509;82,2943298941778;4201,33320410084;3,56997999402951;1,61914955715882;2902;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;OPDISC;865461,893564453;51,2605574679059;8,16488164166072;18984,0917334806;,218861329709919;,144165564554943;5214;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Thailand;PV_CIV;865461,893564453;451,968506972945;77,0307980984123;18984,0917334806;3,64993327842247;2,02445941377118;5214;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;OPDISC; ;50,0387470727906;9,52920972210269; ;,0483693323441611;,0352681660611516; ;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Table Average;PV_CIV; ;502,357808881368;89,155711255072; ;,629927548945838;,349408508485689; ;OPDISC PV_CIV;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26; 8h50m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
