IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Finland;PVCIL;S_SEX;Girl;Boy;49,3790647724178;,809034366548875;50,6209352275822;,809034366548872;1,24187045516448;1,61806873309775;,767501670208381;545,339780000836;3,20915294995619;516,339077456485;3,64741233551298;-29,0007025443504;3,60172738919628;-8,05188716706899;-36 to -22;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;PVCIL;S_SEX;Girl;Girl;49,3790647724178;,809034366548875;49,3790647724178;,809034366548875;0; ; ;545,339780000836;3,20915294995619;545,339780000836;3,20915294995619;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PVCIL;S_SEX;Boy;Boy;50,2227167623303;,635399858970222;50,2227167623303;,635399858970222;0; ; ;486,822946020285;2,84974230418089;486,822946020285;2,84974230418089;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PVCIL;S_SEX;Boy;Girl;50,2227167623303;,635399858970222;49,7772832376697;,635399858970217;-,445433524660676;1,27079971794044;-,350514340200344;486,822946020285;2,84974230418089;510,711261771194;2,86247034938819;23,8883157509095;3,27606181406013;7,29177808806483;17 to 30;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PVCIL;S_SEX;Girl;Boy;49,7772832376697;,635399858970217;50,2227167623303;,635399858970222;,445433524660676;1,27079971794044;,350514340200344;510,711261771194;2,86247034938819;486,822946020285;2,84974230418089;-23,8883157509095;3,27606181406013;-7,29177808806483;-30 to -17;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PVCIL;S_SEX;Girl;Girl;49,7772832376697;,635399858970217;49,7772832376697;,635399858970217;0; ; ;510,711261771194;2,86247034938819;510,711261771194;2,86247034938819;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PVCIL;S_SEX;Boy;Boy;51,5018528311028;,916626652076171;51,5018528311028;,916626652076171;0; ; ;510,569719692525;3,63684151568924;510,569719692525;3,63684151568924;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PVCIL;S_SEX;Boy;Girl;51,5018528311028;,916626652076171;48,4981471688972;,916626652076177;-3,00370566220564;1,83325330415235;-1,63845642901731;510,569719692525;3,63684151568924;526,435772894039;3,12774496962022;15,8660532015138;3,27817787649073;4,83990002961594;9 to 22;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PVCIL;S_SEX;Girl;Boy;48,4981471688972;,916626652076177;51,5018528311028;,916626652076171;3,00370566220564;1,83325330415235;1,63845642901731;526,435772894039;3,12774496962022;510,569719692525;3,63684151568924;-15,8660532015138;3,27817787649073;-4,83990002961594;-22 to -9;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PVCIL;S_SEX;Girl;Girl;48,4981471688972;,916626652076177;48,4981471688972;,916626652076177;0; ; ;526,435772894039;3,12774496962022;526,435772894039;3,12774496962022;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;PVCIL;S_SEX;Boy;Boy;52,3921695888305;,635520220607424;52,3921695888305;,635520220607424;0; ; ;453,507037268286;3,11487881650636;453,507037268286;3,11487881650636;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;PVCIL;S_SEX;Boy;Girl;52,3921695888305;,635520220607424;47,6078304111696;,635520220607412;-4,78433917766091;1,27104044121484;-3,76411247236802;453,507037268286;3,11487881650636;469,28676105217;3,58442872622318;15,7797237838838;3,71114200014869;4,2519859879389;9 to 23;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;PVCIL;S_SEX;Girl;Boy;47,6078304111696;,635520220607412;52,3921695888305;,635520220607424;4,78433917766091;1,27104044121484;3,76411247236802;469,28676105217;3,58442872622318;453,507037268286;3,11487881650636;-15,7797237838838;3,71114200014869;-4,2519859879389;-23 to -9;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;PVCIL;S_SEX;Girl;Girl;47,6078304111696;,635520220607412;47,6078304111696;,635520220607412;0; ; ;469,28676105217;3,58442872622318;469,28676105217;3,58442872622318;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;PVCIL;S_SEX;Boy;Boy;51,6883976550375;,677974997633232;51,6883976550375;,677974997633232;0; ; ;391,169255433864;5,85094047027475;391,169255433864;5,85094047027475;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;PVCIL;S_SEX;Boy;Girl;51,6883976550375;,677974997633232;48,3116023449625;,677974997633229;-3,37679531007508;1,35594999526646;-2,4903538639797;391,169255433864;5,85094047027475;399,426880479055;5,61460553604175;8,25762504519106;4,05969665800707;2,03404976795601;0 to 16;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;PVCIL;S_SEX;Girl;Boy;48,3116023449625;,677974997633229;51,6883976550375;,677974997633232;3,37679531007508;1,35594999526646;2,4903538639797;399,426880479055;5,61460553604175;391,169255433864;5,85094047027475;-8,25762504519106;4,05969665800707;-2,03404976795601;-16 to 0;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;PVCIL;S_SEX;Girl;Girl;48,3116023449625;,677974997633229;48,3116023449625;,677974997633229;0; ; ;399,426880479055;5,61460553604175;399,426880479055;5,61460553604175;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;PVCIL;S_SEX;Boy;Boy;53,0118436683693;,887449773185703;53,0118436683693;,887449773185703;0; ; ;523,8913858382;3,91769244172243;523,8913858382;3,91769244172243;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;PVCIL;S_SEX;Boy;Girl;53,0118436683693;,887449773185703;46,9881563316307;,887449773185705;-6,02368733673858;1,77489954637141;-3,39381873698338;523,8913858382;3,91769244172243;562,60941971239;3,4355193165435;38,7180338741894;4,28469128605857;9,03636488354932;30 to 47;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;PVCIL;S_SEX;Girl;Boy;46,9881563316307;,887449773185705;53,0118436683693;,887449773185703;6,02368733673858;1,77489954637141;3,39381873698338;562,60941971239;3,4355193165435;523,8913858382;3,91769244172243;-38,7180338741894;4,28469128605857;-9,03636488354932;-47 to -30;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;PVCIL;S_SEX;Girl;Girl;46,9881563316307;,887449773185705;46,9881563316307;,887449773185705;0; ; ;562,60941971239;3,4355193165435;562,60941971239;3,4355193165435;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;PVCIL;S_SEX;Boy;Boy;52,7094470116788;,65086182943231;52,7094470116788;,65086182943231;0; ; ;470,877994781358;1,29498523559314;470,877994781358;1,29498523559314;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;PVCIL;S_SEX;Boy;Girl;52,7094470116788;,65086182943231;47,2905529883212;,650861829432312;-5,41889402335758;1,30172365886462;-4,16286051686577;470,877994781358;1,29498523559314;493,899653653305;1,49117928219712;23,0216588719471;2,26989407894707;10,1421731901367;19 to 27;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;PVCIL;S_SEX;Girl;Boy;47,2905529883212;,650861829432312;52,7094470116788;,65086182943231;5,41889402335758;1,30172365886462;4,16286051686577;493,899653653305;1,49117928219712;470,877994781358;1,29498523559314;-23,0216588719471;2,26989407894707;-10,1421731901367;-27 to -19;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;PVCIL;S_SEX;Girl;Girl;47,2905529883212;,650861829432312;47,2905529883212;,650861829432312;0; ; ;493,899653653305;1,49117928219712;493,899653653305;1,49117928219712;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;PVCIL;S_SEX;Boy;Boy;51,4041265361389;1,03934868328128;51,4041265361389;1,03934868328128;0; ; ;510,942841282463;3,24645421184343;510,942841282463;3,24645421184343;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;PVCIL;S_SEX;Boy;Girl;51,4041265361389;1,03934868328128;48,5958734638611;1,03934868328127;-2,80825307227781;2,07869736656255;-1,35096773462589;510,942841282463;3,24645421184343;522,318737611477;2,60745884724434;11,3758963290133;2,97997591425183;3,8174457298825;6 to 17;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;PVCIL;S_SEX;Girl;Boy;48,5958734638611;1,03934868328127;51,4041265361389;1,03934868328128;2,80825307227781;2,07869736656255;1,35096773462589;522,318737611477;2,60745884724434;510,942841282463;3,24645421184343;-11,3758963290133;2,97997591425183;-3,8174457298825;-17 to -6;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;PVCIL;S_SEX;Girl;Girl;48,5958734638611;1,03934868328127;48,5958734638611;1,03934868328127;0; ; ;522,318737611477;2,60745884724434;522,318737611477;2,60745884724434;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;PVCIL;S_SEX;Boy;Boy;50,6373381485471;,414458803328756;50,6373381485471;,414458803328756;0; ; ;507,974053078872;2,33338298643507;507,974053078872;2,33338298643507;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;PVCIL;S_SEX;Boy;Girl;50,6373381485471;,414458803328756;49,3626618514529;,414458803328754;-1,27467629709411;,828917606657509;-1,53775994966986;507,974053078872;2,33338298643507;530,517334470436;1,95705167741926;22,5432813915632;2,08609979740359;10,8064251861877;18 to 27;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;PVCIL;S_SEX;Girl;Boy;49,3626618514529;,414458803328754;50,6373381485471;,414458803328756;1,27467629709411;,828917606657509;1,53775994966986;530,517334470436;1,95705167741926;507,974053078872;2,33338298643507;-22,5432813915632;2,08609979740359;-10,8064251861877;-27 to -18;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
United States;PVCIL;S_SEX;Girl;Girl;49,3626618514529;,414458803328754;49,3626618514529;,414458803328754;0; ; ;530,517334470436;1,95705167741926;530,517334470436;1,95705167741926;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;PVCIL;S_SEX;Boy;Boy;49,2914976240555;1,02676132246567;49,2914976240555;1,02676132246567;0; ; ;448,095357151735;4,85767996417317;448,095357151735;4,85767996417317;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;PVCIL;S_SEX;Boy;Girl;49,2914976240555;1,02676132246567;50,7085023759445;1,02676132246567;1,41700475188908;2,05352264493134;,690036097428308;448,095357151735;4,85767996417317;452,731088208563;4,85565007356898;4,63573105682791;4,51836090716398;1,0259762670746;-4 to 13;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;PVCIL;S_SEX;Girl;Boy;50,7085023759445;1,02676132246567;49,2914976240555;1,02676132246567;-1,41700475188908;2,05352264493134;-,690036097428308;452,731088208563;4,85565007356898;448,095357151735;4,85767996417317;-4,63573105682791;4,51836090716398;-1,0259762670746;-13 to 4;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Uruguay;PVCIL;S_SEX;Girl;Girl;50,7085023759445;1,02676132246567;50,7085023759445;1,02676132246567;0; ; ;452,731088208563;4,85565007356898;452,731088208563;4,85565007356898;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);PVCIL;S_SEX;Boy;Boy;51,2292455377873;,746876009703025;51,2292455377873;,746876009703025;0; ; ;546,14077310732;2,67965169290687;546,14077310732;2,67965169290687;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);PVCIL;S_SEX;Boy;Girl;51,2292455377873;,746876009703025;48,7707544622127;,74687600970303;-2,45849107557464;1,49375201940606;-1,64584954104509;546,14077310732;2,67965169290687;552,301611500879;2,5373494982308;6,1608383935582;2,68539438847022;2,29420245309584;1 to 11;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);PVCIL;S_SEX;Girl;Boy;48,7707544622127;,74687600970303;51,2292455377873;,746876009703025;2,45849107557464;1,49375201940606;1,64584954104509;552,301611500879;2,5373494982308;546,14077310732;2,67965169290687;-6,1608383935582;2,68539438847022;-2,29420245309584;-11 to -1;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Russian Federation (Moscow);PVCIL;S_SEX;Girl;Girl;48,7707544622127;,74687600970303;48,7707544622127;,74687600970303;0; ; ;552,301611500879;2,5373494982308;552,301611500879;2,5373494982308;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;PVCIL;S_SEX;Boy;Boy;51,8597531850013;1,095269129023;51,8597531850013;1,095269129023;0; ; ;512,661978148244;3,19696605175547;512,661978148244;3,19696605175547;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;PVCIL;S_SEX;Boy;Girl;51,8597531850013;1,095269129023;48,1402468149987;1,09526912902301;-3,71950637000257;2,19053825804601;-1,69798740393625;512,661978148244;3,19696605175547;516,841679768315;3,27706805409814;4,17970162007124;3,77947636835969;1,10589436543699;-3 to 12;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;PVCIL;S_SEX;Girl;Boy;48,1402468149987;1,09526912902301;51,8597531850013;1,095269129023;3,71950637000257;2,19053825804601;1,69798740393625;516,841679768315;3,27706805409814;512,661978148244;3,19696605175547;-4,17970162007124;3,77947636835969;-1,10589436543699;-12 to 3;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;PVCIL;S_SEX;Girl;Girl;48,1402468149987;1,09526912902301;48,1402468149987;1,09526912902301;0; ; ;516,841679768315;3,27706805409814;516,841679768315;3,27706805409814;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h47m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
